DateTime,Actual,Predicted
2019-05-20 22:15:00+00:00,107436.06533333333,107448.36
2019-06-23 13:45:00+00:00,107469.55066666666,107493.55
2019-05-27 18:15:00+00:00,107571.224,107602.93
2019-09-12 01:45:00+00:00,107583.64933333333,107578.195
2019-10-14 15:45:00+00:00,107591.06133333333,107585.58
2019-06-26 22:30:00+00:00,107592.28466666667,107596.26
2019-06-07 22:15:00+00:00,107594.4,107598.3
2019-09-10 00:45:00+00:00,107604.24066666666,107609.17
2019-10-11 00:45:00+00:00,107579.668,107582.72
2019-07-06 14:15:00+00:00,107585.516,107587.13
2019-10-14 14:15:00+00:00,107579.792,107586.516
2019-09-15 00:30:00+00:00,107603.872,107607.016
2019-08-09 17:45:00+00:00,107727.34466666667,107714.54
2019-08-07 23:45:00+00:00,107636.52533333334,107619.91
2019-10-03 15:15:00+00:00,107681.548,107660.93
2019-10-21 14:15:00+00:00,107758.084,107735.13
2019-06-19 14:45:00+00:00,107766.78533333333,107744.75
2019-07-02 15:15:00+00:00,107852.42,107825.31
2019-06-15 22:00:00+00:00,107908.01066666667,107884.414
2019-09-29 23:30:00+00:00,107875.63133333334,107852.01
2019-07-27 13:00:00+00:00,107836.42266666667,107816.195
2019-10-19 22:45:00+00:00,107926.946,107909.016
2019-08-14 00:15:00+00:00,107946.462,107930.31
2019-09-09 00:00:00+00:00,107968.61733333333,107946.98
2019-09-16 21:45:00+00:00,108048.108,108027.734
2019-10-22 16:45:00+00:00,107939.036,107923.125
2019-06-12 19:15:00+00:00,107850.36733333333,107835.875
2019-08-20 22:45:00+00:00,107808.336,107789.87
2019-07-12 02:30:00+00:00,107828.86733333333,107805.98
2019-07-17 01:00:00+00:00,107845.28333333334,107817.984
2019-07-04 01:30:00+00:00,107829.156,107799.7
2019-08-06 18:15:00+00:00,107848.78466666667,107824.17
2019-07-01 23:30:00+00:00,107722.044,107697.77
2019-06-08 19:15:00+00:00,107646.144,107615.15
2019-06-06 14:30:00+00:00,107594.346,107560.2
2019-10-08 01:15:00+00:00,107580.61066666666,107546.93
2019-07-26 01:45:00+00:00,107680.77333333333,107645.92
2019-09-18 13:30:00+00:00,107701.35066666667,107671.875
2019-08-01 14:00:00+00:00,107754.53133333333,107776.38
2019-07-19 15:45:00+00:00,107859.696,107882.09
2019-10-18 14:15:00+00:00,107818.83466666666,107829.55
2019-09-07 00:15:00+00:00,107920.804,107936.03
2019-05-29 18:30:00+00:00,107957.18066666667,107985.49
2019-09-08 23:30:00+00:00,107902.96133333334,107924.78
2019-08-01 22:00:00+00:00,107825.43733333334,107850.85
2019-06-27 13:45:00+00:00,107798.2,107824.14
2019-07-23 00:30:00+00:00,107917.79733333334,107940.8
2019-07-22 23:45:00+00:00,107902.97266666667,107926.27
2019-10-06 16:30:00+00:00,107975.68266666666,107997.23
2019-07-17 13:15:00+00:00,107878.04733333334,107902.89
2019-06-27 01:15:00+00:00,108003.25733333333,108027.766
2019-10-09 22:15:00+00:00,108111.00333333333,108134.6
2019-05-20 00:45:00+00:00,108021.04533333333,108042.28
2019-09-13 20:45:00+00:00,108044.818,108038.42
2019-06-27 19:00:00+00:00,108036.046,108035.91
2019-07-25 18:00:00+00:00,108017.086,108015.66
2019-08-01 23:45:00+00:00,108028.4,108038.65
2019-08-11 22:30:00+00:00,108007.154,108019.33
2019-08-10 17:45:00+00:00,107943.26933333333,107954.05
2019-09-03 16:30:00+00:00,107967.058,107979.48
2019-09-29 17:00:00+00:00,107891.93533333333,107908.78
2019-05-23 00:30:00+00:00,107828.82666666666,107891.734
2019-07-23 21:15:00+00:00,107892.84466666667,107976.516
2019-07-20 02:45:00+00:00,107921.472,108008.5
2019-09-29 15:00:00+00:00,107976.572,108060.21
2019-10-07 22:00:00+00:00,108101.99,108179.03
2019-09-06 02:00:00+00:00,108032.114,108111.05
2019-06-12 00:15:00+00:00,108172.964,108237.055
2019-08-06 01:15:00+00:00,108255.31866666667,108320.08
2019-09-12 13:45:00+00:00,108333.81066666667,108402.8
2019-10-22 13:45:00+00:00,108435.41533333334,108505.47
2019-06-19 03:00:00+00:00,108560.71933333333,108627.97
2019-06-20 01:30:00+00:00,108664.772,108734.51
2019-10-07 15:45:00+00:00,108720.84733333334,108799.32
2019-08-29 17:30:00+00:00,108784.094,108848.21
